0,1,2,3,4
Pagn 3,,,,
'  SFN 2468  (04-2010),,,,
Stimulated  Formation Date  Stimulated,Top  (Ft),Bottom  (Ft)  Stimulation  Stages,,Volume Volume  Units
3 Forks 12/14/2014,10865,22585,38,72511 Barrels
Acid % Typ1  Treatment,Lbs Proppant,Maximum  Treatment  Pressure  (PSI),,Maximum  Treatment  Rate  (BBLS/Min)
Santi  Frac,3764730,,8557,23.0
Det<1ils,"Pumped  96760#  40/70  mesh,  2681100#  20/40 sand  and  986870#  20/40 ceramic.",,,
Stimulated  Formation Datn Stimulated,Top  (Ft),,Bottom  (Ft)  Stimulation  Stages,Volume  Units Volume
Acid % Treatment,Lbs  Proppant,Maximum  Treatment  Pressure  (PSI),,Maximum  Treatment  Rate  (BBLS/Min)
Details,,,,
Stimulated  Formation Dat1i Stimulated,Top  (Ft),,Bottom  (Ft)  Stimulation  Stages,Volume  Units Volume
Acid % Treatment,Lbs Proppant,Maximum  Treatment  Pressure  (PSI),,Maximum  Treatment  Rate  (BBLS/Min)
Detiils,,,,
Stimulated  Formation Dat  Stimulated,Top  (Ft),,Bottom  (Ft)  Stimulat ion Stages,Volume  Units Volume
Acid % Type  Treatment,Lbs  Proppant,Maximum  Treatment  Pressure  (PSI),,Maximum  Treatment  Rate  (BBLS/Min)
Det iils,,,,
Dat  Stim ulated Stimulated  Formation,Top  (Ft),,Bottom  (Ft)  Stimulat ion Stages,Volume Volume  Units
Type  Treatment Acid %,Lbs  Proppant,Maximum  Treatment  Pressure  (PSI),,Maximum  Treatment  Rate  (BBLS/Min)
Det3ils,,,,
ACDITIONAL,INFORMATION  AND/OR  LIST  OF ATTACHMENTS,,,
reby swear  or affirm  that  the  information I he,Email Address,,,Date
"·1ided  is true, complete  and correct  as pro",Terry.Olson@clr.c om,,,3/26/2014
det1 i rmined  from  all available  records.,,,,
Sig 1ature,Printed  Name,,,'T itle
"ll1-,",Terry  L. Olson,,,Regul atory  Compliance  Specialist
(  \,,,,
