well_name,api,longitude,latitude,filename,block_stats,well_status,well_type,closest_city
Atlanta 1-6H,33-105-02732,103° 43' 54.570 W,48° 6' 35.990 N,ocr_W23372,"[{'number': '362', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '715', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Lewis Federal 5300 11-31,33-053-06548,103° 36' 11.060 W,48° 2' 9.300 N,ocr_W30188,"[{'number': '760', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '2.1 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Kline,33-053-06225,103° 36' 10.190 W,48° 4' 45.680 N,ocr_W29244,"[{'number': '296', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '3.7 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Kline Federal 5300 31-18 15T,33-053-06755,103° 36' 11.380 W,48° 4' 27.840N,ocr_W30789,"[{'number': '511', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '246', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Yukon,33-053-03911,102° 22' 37.042 W,48° 4' 58.501 N,ocr_W22099,"[{'number': '725', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.5 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Lewis Federal,33-053-05849,"103˚ 36' 11.18"" W","48˚ 01' 54.48"" N",ocr_W28194,"[{'number': '1.3 k', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '3.9 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Columbus Federal 3-16H,33-053-04856,103°40'11.004W,48°04'31.639N,ocr_W25160,"[{'number': '763', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '924', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Chalmers 5300 21-19,33-053-06021,103° 36' 10.110 W,48° 3' 41.300 N,ocr_W28636,"[{'number': '269', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.7 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
MAGNUM 3-36-25H,33-053-04069,"103° 36' 18.97"" W","48°03'09.063"" N",ocr_W22731,[],,,
Wade Federal 5300 41-30,33-053-05954,103° 36' 10.82 W,48° 2' 28.650 N,ocr_W28425,"[{'number': '331', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '1.4 k', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
Columbus Federal 1-16H,33-053-04852,103° 40' 12.754 W,48° 4' 29.665 N,ocr_W25156,"[{'number': '900', 'content': 'Barrels of Oil Produced in Oct 2024'}, {'number': '939', 'content': 'MCF of Gas Produced in Oct 2024'}]",Active,Oil & Gas,Williston
