"id","name","API","latitude","longitude","block_stats","well_status","well_type","closest_city","filename"
"1","Atlanta 1-6H","33-105-02732","48.109997","-103.731825","[{""number"": ""362"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""715"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23372"
"2","Lewis Federal 5300 11-31","33-053-06548","48.035917","-103.603072","[{""number"": ""760"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""2.1 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W30188"
"3","Kline","33-053-06225","48.079356","-103.602831","[{""number"": ""296"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""3.7 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W29244"
"4","Kline Federal 5300 31-18 15T","33-053-06755","48.074400","-103.603161","[{""number"": ""511"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""246"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W30789"
"5","Yukon","33-053-03911","48.082917","-102.376956","[{""number"": ""725"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.5 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W22099"
"6","Lewis Federal","33-053-05849",NULL,NULL,"[{""number"": ""1.3 k"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""3.9 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28194"
"7","Columbus Federal 3-16H","33-053-04856","48.075455","-103.669723","[{""number"": ""763"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""924"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W25160"
"8","Chalmers 5300 21-19","33-053-06021","48.061472","-103.602808","[{""number"": ""269"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.7 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28636"
"9","MAGNUM 3-36-25H","33-053-04069","48.052518","-103.605269","[]",NULL,NULL,NULL,"W22731"
"10","Wade Federal 5300 41-30","33-053-05954","48.041292","-103.603006","[{""number"": ""331"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.4 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28425"
"11","Columbus Federal 1-16H","33-053-04852","48.074907","-103.670209","[{""number"": ""900"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""939"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W25156"
"12","Atlanta Federal 8-6H","33-105-02725","48.109272","-103.732489","[{""number"": ""329"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""668"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23365"
"13","Kline Federal","33-053-06223","48.074400","-103.603161","[{""number"": ""536"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""5 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W29242"
"14","Atlanta Federal","33-105-02728","48.109351","-103.730176","[{""number"": ""305"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""639"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23368"
"15","Chalmers 5300 21-19","33-053-06018","-90.057500","-103.602808","[{""number"": ""479"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.6 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28633"
"16","Bray 5301 43-12H","33-053-03912","48.082767","-103.612014","[]",NULL,NULL,NULL,"W20864"
"17","Wade Federal 5300 21-30 12T","33-053-06129","48.040525","-103.603169","[{""number"": ""483"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""4.9 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28976"
"18","Atlanta Federal 10-6H","33-105-02723","48.109272","-103.732489","[{""number"": ""645"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.1 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23363"
"19","Atlanta Federal 9-6H","33-105-02724","48.109272","-103.732489","[{""number"": ""349"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""697"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23364"
"20","Chalmers 5301 44-24 4T2R","33-053-06011","48.055692",NULL,"[]",NULL,NULL,NULL,"W28600"
"21","Magnum","33-053-03944","48.024964","-103.605168","[]",NULL,NULL,NULL,"W22249"
"22","Tallahassee 2-16H","33-053-04854","48.075243","-103.669911","[{""number"": ""209"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.1 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W25158"
"23","Wade Federal","33-053-05906","48.042439","-103.603169","[{""number"": ""175"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.2 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28303"
"24","Dahl 15-11H","33-063-03703","-48.082325","-103.635900","[]",NULL,NULL,NULL,"W21266"
