"name","API","latitude","longitude","block_stats","well_status","well_type","closest_city","date_stimulated","stimulated_formation","top_ft","bottom_ft","stimulation_stages","volume","volume_units","type_treatment","acid_percent","lbs_proppant","max_treatment_pressure","max_treatment_rate","details"
"Kline","33-053-06225","48.079356","-103.602831","[{""number"": ""296"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""3.7 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","07/17/2015","Three Forks","11101","20835","36","208220","Barrels",,NULL,NULL,NULL,NULL,"100 Mesh White: 301340
40170 White: 1556480
30/50 White: 1742280
30/50 Resin Coated: 511100
20/40 Resin Coated: 71870 I II"
"Yukon","33-053-03911","48.082917","-102.376956","[{""number"": ""725"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.5 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","08/31/2013","Bakken","11126","21220","36","100130","Barrels",,NULL,NULL,NULL,NULL,"100 Mesh: 124,804
40/70 White: 1,416,922
20/40 Ceramic: 2, 108,050
I"
"Columbus Federal 3-16H","33-053-04856","48.075455","-103.669723","[{""number"": ""763"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""924"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","3/2/2014","Bakken","10968","23122","41","74589","Barrels",,NULL,NULL,NULL,NULL,"Pumped 285982# 40/70 mesh, 2418523# 20/40 sand and 1084241# 20/40 ceramic."
"Chalmers 5300 21-19","33-053-06021","48.061472","-103.602808","[{""number"": ""269"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.7 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","04/25/2015","Three Forks","11165","20511","36","96178","Barrels",,NULL,NULL,NULL,NULL,"100 Mesh White: 144690
40170 White: 1554590
20140 Ceramic: 2282410"
"Wade Federal 5300 41-30","33-053-05954","48.041292","-103.603006","[{""number"": ""331"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.4 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","04/24/2015","Bakken I","10032","20425","50","188339","Barrels",,NULL,NULL,NULL,NULL,"40170 White: 1209680
20/40 White: 6519540
20/40 Resin Coated: 1299520
100 Mesh White: 208460
I I"
"Columbus Federal 1-16H","33-053-04852","48.074907","-103.670209","[{""number"": ""900"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""939"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","7/7/2013","Bakken","11386","21276","30","48693","Barrels",,NULL,NULL,NULL,NULL,"Pumped 156552# 40/70 mesh, 1742173# 20/40 sand and 788262# 20/40 Resin.
I I"
"Atlanta Federal 8-6H","33-105-02725","48.109272","-103.732489","[{""number"": ""329"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""668"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","12/14/2014","3 Forks","10865","22585","38","72511","Barrels",,NULL,NULL,NULL,NULL,"Dat1i Stimulated Stimulated Formation Top (Ft) Bottom (Ft) Stimulation Stages Volume Volume Units"
"Chalmers 5301 44-24 4T2R","33-053-06011","48.055692",NULL,"[]",NULL,NULL,NULL,"11/25/2014","Three Forks","11074","20938","36","98038","Barrels",,NULL,NULL,NULL,NULL,"40/70 Ceramic: 25340
30/50 Ceramic: O
40/70 White: 863519
20/40 White: 5340835"
"Wade Federal","33-053-05906","48.042439","-103.603169","[{""number"": ""175"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.2 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","03/29/2015","Three Forks","11080","20453","36","123705","Barrels",,NULL,NULL,NULL,NULL,"100 Mesh White: 139800
40/70 White: 1396480
20/40 Ceramic: 1845780
20/40 Resin Coated: 594820
I I"
"Chalmers Wade Federal","33-053-06012",NULL,NULL,"[{""number"": ""280"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""52"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","11/25/2014","Three Forks","11418","21025","36","95600","Barrels",,NULL,NULL,NULL,NULL,"40/70 ceramic -935,244
30/50 ceramic -208641
40/70 white -844, 164
20/40 white -4,382,881"
