"id","content"
"1bvmjt8","This virtual second skin is allowing ‘touch’ for isolated sick children | The smart textile made of silicon is as thin as a film and shows how powerful “sensitive” can get."
"1e4lxld","US to test Japan’s unique wind turbines that generate power even at 7 mph"
"1e4pdgi","Solar panel waste makes EV batteries 99.9% efficient, retain 83.1% capacity | Silicon anodes give lithium-ion batteries better energy density and can improve battery performance, even over 200 charge-discharge cycles."
"1e4znsy","New 'superlubricity' coating is a step toward friction-free machines"
"1e5fn4e","Paralyzed patient speaks with power of thoughts using brain-computer interface"
"1e5htcp","World’s 1st dual-tower solar plant unveiled, will make 1.8 billion kWh yearly | The 200-meter dual towers have 30,000 mirrors to cover an 800,000-square-meter light-collecting area."
"1e5hyj9","Shapeshifting battery can stretch 5000%, retain charge after 70 cycles | Researchers used material used to make contact lenses to make the battery flexible."
"1e5i32x","New drug reverses diabetes in mice, boosting insulin-making cells by 700% | One day this research could lead to game-changing new treatments for diabetes"
"1e619ih","The Smallest, Lightest Solar-Powered Drone Takes Flight | It weighs less than a nickel and can fly nonstop while the sun shines"
"1e68rt1","This ""Smart"" Soil Can Water and Feed Itself | A newly engineered type of soil can capture water out of thin air to keep plants hydrated and manage the release of fertilizer."
"1e68t02","Enzyme-Powered “Snot Bots” Help Deliver Drugs in Sticky Situations | Tiny, enzyme-powered bots can push through mucus, helping to deliver drugs more efficiently."
"1e6dt9o","Robot Dog Cleans Up Beaches With Foot-Mounted Vacuums | Thanks to VERO, Genoa has fewer cigarette butts littering the ground"
"1e6ivyi","Charge less, power more: Zinc-bromine battery tech hits record 10,000 charge cycles"
"1e71fmi","‘Dolphin skin’ propeller boosts fuel efficiency of cargo ships | A new propeller coated with a skin mimicking that of a dolphin holds the promise of significantly reducing fuel consumption and emissions in large cargo ships."
"1e734lu","Horsepower to poop power: Horse manure better at generating electricity, heat"
"1e7sn01","Why bigger may not be better for nuclear energy"
"1e8jz5f","Complete recycle of solid-state batteries possible, thanks to polymer layers"
"1e8usdd","New drug extends lifespan by 25%, fights aging, could prevent cancer | Researchers administered an injection of an anti-IL-11 antibody to 75-week-old mice, neutralizing the harmful effects of IL-11."
"1e9a4id","Graphene-based brain chip offers 200x more power for Parkinson’s patients | Inbrain’s graphene chip is a promising new technology with the potential to improve brain surgery and neurological treatments."
"1e9c02n","Origami Helps Implant Sensors in Bio-Printed Tissue"
"1e9im8v","Rolls Royce’s 120-inch-long mini space nuclear reactor gets funding boost"
"1ea3pen","US scientists create plastic that glows and biodegrades on demand | The secret lies in integrating a special chemical called tert-butyl ester."
"1ea5gwq","Sky drift: Boeing’s pilotless air taxi could take passenger flight by 2030"
"1ea6wai","Dog-like robot jams home networks and disables devices during police raids — DHS develops NEO robot for walking denial of service attacks | Smart home defenses crumble when the NEO dog arrives."
"1eaemw3","New 3D-printed solar steam generators can desalinate, purify seawater | The SSG absorbs sunlight, converts it into thermal energy then uniformly transfers it to water, resulting in its absorption of heat and subsequent evaporation, as per scientists."
"1eayt44","Test Flight Demonstrates Navigation by Cellphone Signals | The new technique could protect against GPS spoofing"
"1eaz4m1","Breakthrough battery bears 212°F heat, hits 99.8% efficiency after 450 cycles"
"1ebqw90","Scientific milestone achieves atomic-scale imaging in a world-first | Researchers have built a single molecule high resolution quantum sensor that can measure electric and magnetic fields in atoms."
"1ebsnaj","AI-powered robotic exoskeleton enables paraplegic athlete carry Olympic flame | As one of the first testers, Piette has contributed to the improvement of robotic exoskeletons, even taking part in ‘cybathlons’."
"1ebss69","Breakthrough air-to-water converter works even at night, generates 20L daily"
"1ebtswb","Device that turns Wi-Fi signals into electricity created by scientists | This rectifier is designed to operate at extremely low power levels, even below -20 dBm, overcoming the limitations faced by conventional technologies."
"1ec0mim","New method turns banana waste into green textiles, energy | Scientists estimate that the banana agricultural waste in Pakistan could yield 57,488 million cubic meters of syngas."
"1eckiyu","MIT scientists have discovered a new way to produce hydrogen fuel, using just soda cans, seawater and coffee grounds | The team says the chemical reaction could be put to work powering engines or fuel cells in marine vehicles that suck in seawater."
"1ecn7jl","Maglev titanium heart now whirs inside the chest of a live patient | The fully mechanical heart uses the same technology as high-speed rail lines. The feat marks a major step in keeping people alive as they wait for heart transplants."
"1ecpm7k","Dual action antibiotic could make bacterial resistance nearly impossible"
"1edesiu","Artificial blood vessels mimic human veins, offer breakthrough in heart surgery"
"1edhgs0","A.I. May Save Us, or May Construct Viruses to Kill Us (Gift Article)"
"1ee5qot","US’ first robot-assisted dual kidney transplant performed in Ohio"
"1ee7oxz","Samsung delivers solid-state battery for EVs with 600-mile range as it teases 9-minute charging and 20-year lifespan tech"
"1eekj1a","MIT robot gently peels squash with one hand while holding it by other"
"1eevlre","New wearable tech could help track PTSD, sepsis early through nerve activity | This technology could enable doctors to pinpoint patients who are at increased risk of excessive immune responses or immunoparalysis."
"1eex81h","Oak Ridge Sets a New Record for Wireless EV Charging​ | ORNL's zippy prototype delivered 270 kilowatts to a Porsche Taycan"
"1eezhwy","UK scientists achieve unprecedented 402 Tbps data transmission over optical fiber | They broke their own 319 Tbps record set in March"
"1efrmdm","Cat poo parasites could cure disorders like Alzheimer’s, Parkinson’s | Engineered Toxoplasma gondii successfully delivered therapeutic proteins to brain cells, marking a significant breakthrough in overcoming the blood-brain barrier."
"1efsgry","US scientists master control of hypersonic jet engine with light-based tech"
"1egl5s7","Drought buster: Solar tech extracts 3 liters of water from thin air daily | The design improves material flow and energy use, producing 0.65 L/m²/hr of freshwater under sunlight and 90% humidity."
"1egln6i","Scientists create living mosquito repellent from human skin bacteria | New bacteria design reduces mosquito attraction by up to 64.4% and lasts over a week."
"1ehf9ml","Construction of US’ first fourth-gen nuclear reactor ‘Hermes’ begins"
"1ehfbyl","Using 3D printing to create 3D circuits: Researchers unlock self-healing boards | A Singapore team has developed a novel 3D printing technique for three-dimensional circuits"
"1ei7oln","3D-Printed Ceramic Ink Removes “Forever Chemicals” From Water"
"1ei7tm3","Neuralink rival Synchron syncs Apple Vision Pro to paralyzed patient’s thoughts"
"1eib6l9","219,000 kWh: Norway deploys world’s largest vertical rooftop solar on soccer field | Vertical solar panels generate 20-30 percent higher specific yield by the company’s own estimates."
"1ej0mt0","Nuclear reactor breakthrough: New material can replace costly nickel alloys"
"1ej65wo","World’s first 18650 Potassium-ion battery debuts, can replace lithium cells | The 18650 format, being the most widely used and designed cell format, ensures compatibility with existing devices and applications."
"1ejk6en","Fully-automatic robot dentist performs world's first human procedure"
"1ejou2g","Watch: Vacuum-footed robot dog cleans up the beach"
"1ejt40y","Flash recycling breakthrough achieves 98% efficiency in battery recovery"
"1ekjr32","Engineers use wood pulp to 3D-print stronger concrete for construction | Cellulose nanofibrils (CNF) could potentially revolutionize 3D-printed concrete."
"1ekm1r5","Oxford Dynamics’ robot can endure nuclear incidents, even fatal radiation"
"1ekm20z","Cheap heat-storing 'firebricks' projected to save industries trillions | Researchers predict that firebricks could reduce global reliance on batteries by 14.5%, hydrogen by 31%, and underground heat storage by 27.3% — if the world switches to full renewable energy by 2050."
"1el8i7c","Phys.org: Physicists develop new method to combine conventional internet with the quantum internet"
"1elc401","Nezha-SeaDart: China tests air-sea hybrid drone with flight, dive capabilities | Nezha-SeaDart can vertically take off, land from ground and water, and cruise in the air with lift generated by the wings."
"1elev2v","Soft Gold Electrode Helps Nerves To Connect With Electronics | The soft gold wires stretch along with the body’s movements, without poking or damaging surrounding tissues."
"1elfq61","1st-ever quantum, classical internet merger achieved via single optical fiber | This novel quantum experiment has the potential to advance telecommunications."
"1elg4ai","New biomaterial regrows cartilage; could prevent knee replacement surgery"
"1eljznm","New fuel cell achieves 60% electrical efficiency with 100% hydrogen | The Solid Oxide Fuel Cell (SOFC) platform can now generate electricity with an incredible 60% efficiency when using 100% hydrogen."
"1elxcfe","New canine knee implant developed by Texas University to treat pet’s injury | The Rev Knee method begins by uploading CT scans of a knee joint into software that recreates the patient’s unique tibial and femoral components."
"1em91cv","Potential Vaccine and Treatment Developed for Flu and Coronaviruses | Team develops two nasal sprays – an immune activator and a new vaccine – to prevent virus transmission."
"1em9uct","World’s 1st AI-powered hearing aids boost speech understanding by 53 times"
"1em9xsv","This Innovative Device Allows South American Paleontologists to Share Fossils With the World. PaleoScan offers scientists at far-flung institutions a less expensive way to digitize their collections and preserve at-risk specimens of fish, turtles, pterosaurs and more."
"1emaxir","Sandwich to star power: Mayonnaise may unlock ‘never unstable’ nuclear fusion | Although mayonnaise typically behaves as a solid, when subjected to a pressure gradient, it begins to flow in a manner similar to plasma under comparable conditions."
"1emcybo","Could this new drug turn back the clock on multiple sclerosis?"
"1emfrjt","Soft robotic glove returns gripping power to weakened hands"
"1en2ld6","Water-powered, electronics-free bandage heals chronic wounds 30% faster | When applied to a wound, a drop of water activates the battery, creating an electric field that promotes healing for several hours."
"1en43aa","World’s largest, 78 kWp floating solar plant powers Paris Olympic village"
"1en9ajl","Nissan has demonstrated a new automotive paint that can drastically cool a vehicle parked in direct sunshine | Tests have shown that treated cars stay up to 21.6 °F (12 °C) cooler than untreated cars parked side by side."
"1enmwg3","New lensless fluorescence microbial detection system to save millions of lives | A more efficient, low-cost system to help detect microbes in water quickly and easily, could help save millions of lives yearly in developing countries."
"1enwq8v","Japan adds CO2 to old-school debris to create stronger concrete bricks | These new concrete blocks are strong enough to build houses and pavements."
"1eo04j9","Figure says its new humanoid robot can chat and learn from its mistakes"
"1eo2zgz","SanDisk announces the world’s first 8TB SD card – the biggest memory card we’ve ever seen"
"1eo52ib","‘Printable’ perovskite solar cells achieve 26% efficiency, 20-year lifespan | The other major benefit is that these new generation perovskite solar cells can be printed at very low room temperatures."
"1eoqlr3","New 3D printer ink makes recyclable electric circuits without heat or light | Researchers from the US and Korea have developed a new 3D printable ink that solidifies in salt water and is easily recyclable using just fresh water"
"1eose29","World’s first fusion ignition breakthrough: US firm wins esteemed award"
"1eox68e","Breakthrough flexible solar panels are so thin they can be printed on any surface – even backpacks | A coating that's just 1 micron thick can be applied to almost any surface"
"1epclyw","Robots can now train themselves with new ""practice makes perfect"" algorithm"
"1epiona","Boost EV safety with one spray: Breakthrough coating enhances battery protection"
"1epwhz7","How a monk and a Hippo, a solar-powered waste-collection vessel, joined forces to tackle Bangkok’s plastic pollution."
"1epwsa1","This futuristic space habitat is designed to self-assemble in orbit. The structure can be carried into space compactly, potentially lowering launch costs."
"1eq9gtw","Scientists hail ‘smart’ insulin that responds to changing blood sugar levels in real time | People with type 1 diabetes may in future only need to give themselves insulin once a week, say experts"
"1eqar5t","CERN’s breakthrough experiment captures high-energy neutrinos for first time | The team analyzed a subset of the exposed detector volume, equivalent to 128.6 kg, focusing on high-energy neutrinos produced by LHC’s proton-proton collisions."
"1eqch5s","China’s new blood test achieves 90% accuracy in early gastric cancer detection"
"1er4qjl","Rice’s ‘revolutionary’ reactor turns wastewater into green ammonia, drinking water | This breakthrough in electrochemical synthesis offers a sustainable alternative to traditional ammonia production methods."
"1er4sns","World’s 1st carbon removal facility to capture 30,000 tons of CO2 over decade | Also Canada’s first commercial direct air capture project, Deep Sky’s carbon removal innovations facility aims to capture 3,000 tons of CO2 per year."
"1er603g","New glucose-responsive insulin may cut injection frequency to once a week"
"1eriq9h","AI predicts diseases with 98% accuracy in real-time using tongue color | AI-powered computer model to analyze patients’ tongue colors for real-time disease diagnoses such as anemia, COVID-19, vascular and gastrointestinal issues, or asthma."
"1erze5z","Martian ears: Scientists develop sound system to track wind speeds on Mars"
"1esr8gx","New brain tech turns paralyzed patient’s thoughts into speech with 97% accuracy | This innovation deciphers brain signals when a person attempts to speak, converting them into text, which the computer then vocalizes."
"1et4qkt","MIT’s new AI-driven brain mapping platform sparks hope for Alzheimer’s treatment"
"1etkr9e","Thin metal oxide films printed at room temperature can transform display tech | The films are transparent and highly conductive, thus valuable for applications such as touch screens and display technologies."
"1etkryn","Researchers develop fabric that generates electricity from body heat | The fabric offers possibilities for health checks, and activity tracking."
"1etnx0c","New air-powered computer fights device failure, cuts stroke, blood clot risk"
"1etqevq","US: World’s largest 8,500 MWh capacity battery to be built in Maine | The project will use iron-air batteries that are easier to build, maintain and also recycle at the end of their life."
"1eufg65","From pebbles to power: the rise of potassium silicate batteries"
"1ev6bsu","Flying robot can navigate collapsed structures easily, aid disaster response | Hovering six feet up, drones convert 3D lidar data into a 2D map, analyzing pixels to identify doors and rooms."
"1ev8d44","Clean lithium extraction possible with new zero-water, zero-chemical method"
"1evzc27","Spit to save lives: 15-minute saliva test detects heart failure at home"
"1evzip1","Scientists use light to expand implants, reducing child heart surgeries | Blue light has enough energy to start the reaction while remaining safe for living tissues."
"1ew1fjc","GPS-free navigation nears reality with quantum technology breakthrough | Integrated photonic chips enable compact, low-cost quantum navigation"
"1ew2hip","Unitree G1 humanoid robot ready to leap into mass production"
"1ewmk8x","Solar panel recyclers pioneer new methods for greening the industry "
"1ewsdc3","Printed electronics with 1,000 times more charge could detect spoiled milk, food | The printed electronics can be used to scan everyday objects—for example, milk cartons and fridges—to enable communication between these objects and smartphones and computers."
"1ewtadv","Plastic pollution solution: Scientists develop green plastic alternative"
"1ewutmz","Light-activated implant could spare babies from multiple heart surgeries"
"1ewuvxw","Continuous Flow Reactor Recycles Many Common Plastics | Aduro's water-based process could address growing plastic waste"
"1ewyobq","Brainwave-reading robot ‘coaches’ could rehabilitate stroke survivors | A new system allows rehabilitation robots to read brainwaves using a brain-computer interface headset."
"1ex6ygh","New bacteria-derived hydrogel effective in muscle tissue regeneration | A groundbreaking study in regenerative medicine: researchers manufactured a hydrogel out of bacteria that stimulates muscle repair."
"1exmlee","Salsa hack: 50% recycled glass mix boosts cilantro, pepper, jalapeño plant growth | Preliminary results suggest that recycled glass not only accelerates plant growth but also prevents fungal growth."
"1exn9r3","Unique ‘heart-in-a-box’ tech keeps donated organ beating for 9 hrs"
"1eyef97","World's fastest microscope freezes time at 1 quintillionth of a second | Physicists at the University of Arizona have developed the world’s fastest electron microscope to capture events lasting just one quintillionth of a second."
"1eygkaa","‘Natural cement’: Scientists electrocute sand to stop coastline erosion | Calculations estimate that the cost of electrically cementing one cubic meter of ground ranges from $3 to $6."
"1eyglsu","‘World’s fastest’ microscope captures electron motion in striking detail | The researchers generated a single attosecond electron pulse to capture an electron in a fixed state, matching the speed at which electrons move."
"1eyhmwu","Lotus-inspired reactor turns carbon emissions into useful chemicals, fuel"
"1eyveyh","New nanogenerators achieve 140-fold power density gain, could rival solar cells | If a traditional nanogenerator produces ten milliwatts of power, this new technology could increase that output to over 1,000 milliwatts."
"1ez8rbn","Sprayable safety: Stanford engineers wildfire-shielding gel to protect homes | The innovative gel transforms into a silica-based aerogel under heat, providing superior insulation and protection."
"1ezbga6","67-year-old receives world-first lung cancer vaccine as human trials begin"
"1ezv07u","Eco-friendly ""living plastic"" contains the seeds of its own destruction"
"1ezxdja","Swarmbotics founders grew 'obsessed with robot swarms' and now plan to bring them to the battlefield"
"1f02vpy","MIT develops low-cost, high-energy batteries using disordered rock salt cathodes |  The new material family primarily comprises manganese, an earth-abundant element less expensive than nickel and cobalt."
"1f049yo","Lotus leaf-inspired tech advances 3D nanoscale tumor study"
"1f0utuf","US achieves superconductor breakthrough, can benefit quantum computing"
